option,year,employmentChange,lowEnd,highEnd
2026_13_0_2,2023,-0.13332187499999615,0.0045727503402449785,-0.3384441315248453
2026_13_0_3,2023,-0.13532187499999615,0.004619939896189287,-0.34165948316566114
2026_13_1_1,2023,-0.14332187499999613,0.005148804219057564,-0.3630947899857814
2026_13_1_2,2023,-0.14832187499999613,0.00534191545548657,-0.3767779444298791
2026_13_1_3,2023,-0.15032187499999614,0.005390880392877091,-0.38062339335743156
2026_13_2_1,2023,-0.17332187499999613,0.006110384860227573,-0.4372856449634078
2026_13_2_2,2023,-0.17932187499999613,0.006313579165110146,-0.45292327967403834
2026_13_2_3,2023,-0.18132187499999614,0.0063649989204038705,-0.45677407192109953
2026_14_0_1,2023,-0.21032187499999613,0.004126164303476517,-0.5245020800472487
2026_14_0_2,2023,-0.21732187499999614,0.004341783399043656,-0.5425937508296574
2026_14_0_3,2023,-0.21932187499999614,0.0043982506307979705,-0.5468905018379385
2026_14_1_1,2023,-0.22732187499999615,0.007888623305248475,-0.5647454724747597
2026_14_1_2,2023,-0.23532187499999613,0.008131215506217943,-0.5817874937093885
2026_14_1_3,2023,-0.23732187499999613,0.008192794400765348,-0.5860933466700975
2026_14_2_1,2023,-0.26132187499999615,0.00831927028058988,-0.6536559904157218
2026_14_2_2,2023,-0.27032187499999616,0.008562764478802906,-0.6739361584969621
2026_14_2_3,2023,-0.27232187499999616,0.008626634802605029,-0.6790322420442397
2026_15_0_1,2023,-0.3152437499999932,0.005547951299312406,-0.7989756606386017
2026_15_0_2,2023,-0.3252437499999932,0.005786853845390245,-0.8222032319267253
2026_15_0_3,2023,-0.3272437499999932,0.005849525816011257,-0.8284387304649636
2026_15_1_1,2023,-0.33524374999999323,0.006589818177310087,-0.8489861594653976
2026_15_1_2,2023,-0.3452437499999932,0.006860571806080686,-0.8757148924412558
2026_15_1_3,2023,-0.3472437499999932,0.006931515720559952,-0.88279551010464
2026_15_2_1,2023,-0.3732437499999932,0.012717035185732981,-0.9491474864926284
2026_15_2_2,2023,-0.3842437499999932,0.013057635634050073,-0.976908023373725
2026_15_2_3,2023,-0.3862437499999932,0.013141188999275933,-0.9838925148780431
2027_10_0_1,2023,-0.00885937499999622,2.0097754717473346e-7,-0.03027717714721031
2027_10_0_2,2023,-0.00985937499999622,1.4502194390837599e-5,-0.032467968654585934
2027_10_0_3,2023,-0.00985937499999622,1.548050445171457e-5,-0.03286709043576474
2027_10_1_1,2023,-0.01585937499999622,5.606478579621857e-4,-0.04727142934368895
2027_10_1_2,2023,-0.01685937499999622,5.954255623353389e-4,-0.04992897105773059
2027_10_1_3,2023,-0.01685937499999622,6.04641319451169e-4,-0.050638948618956015
2027_10_2_1,2023,-0.03385937499999622,0.0011556491029050251,-0.09177188102990233
2027_10_2_2,2023,-0.03485937499999622,0.0012080411209563924,-0.09536197939123603
2027_10_2_3,2023,-0.03485937499999622,0.0012212976245623132,-0.09647455348262297
2027_11_0_1,2023,-0.02285937499999622,2.6611353310338837e-4,-0.06784715185710523
2027_11_0_2,2023,-0.02385937499999622,2.813247690728137e-4,-0.07144228626109277
2027_11_0_3,2023,-0.02385937499999622,2.9299577343364075e-4,-0.07246900213487488
2027_11_1_1,2023,-0.03085937499999622,9.73758751076568e-4,-0.09027808910652053
2027_11_1_2,2023,-0.03285937499999622,0.001028463599410788,-0.09486292009354057
2027_11_1_3,2023,-0.03385937499999622,0.0010431405809075331,-0.09603703963933576
2027_11_2_1,2023,-0.05085937499999622,0.0018149898825016986,-0.13659109296573782
